"Table S1. Differentially Expressed Genes after Remote Fear Memory Extinction between CI-994- and VEH-Treated Animals, Related to Experimental Procedures"					
Gene	Locus	log2 	Expression (a.u.) in		p-value
Ssh3	chr19:4261667-4269172	-0.652115	5.54231	3.52683	0.0294223
Akap13	chr7:82600419-82899495	-0.638722	5.98097	3.84147	0.00018249
Ctnnal1	chr4:56823806-56878083	-0.636338	4.52362	2.91025	0.0234212
Wsb1	chr11:79052883-79068197	-0.634398	14.2837	9.20169	0.0162974
Car12	chr9:66561492-66614652	-0.628374	12.5753	8.13506	0.00147248
Sod3	chr5:52755042-52760977	-0.623327	10.1017	6.55777	0.0203389
Beta-s	chr7:110975036-110976442	-0.60307	44.3386	29.1904	0.0205741
Intu	chr3:40439688-40508662	-0.600057	2.50814	1.65469	0.0342145
Plce1	chr19:38598686-38859590	-0.598879	1.86396	1.23071	0.0257502
Mccc1	chr3:35858230-35952469	-0.597987	5.28599	3.49232	0.0429319
Slc39a13	chr2:90901947-90910378	-0.592602	9.58318	6.35504	0.0219864
Ccdc157	chr11:4035162-4060296	-0.588127	5.40453	3.59513	0.00337482
Lrrc16b	chr14:56109929-56127101	-0.58616	5.00457	3.33361	0.0179348
Rian	chr12:110842154-110899921	-0.558831	18.4816	12.5463	0.00193757
Car4	chr11:84771255-84779556	-0.553242	49.5607	33.775	0.00297625
Cflar	chr1:58770129-58815726	-0.553047	4.45466	3.03621	0.0115684
Nr2f2	chr7:77496835-77511632	-0.552898	8.53164	5.81558	0.00973675
Mapk11	chr15:88972913-88980036	-0.538105	8.47218	5.83457	0.0382341
Cyb561	chr11:105795017-105805461	-0.530187	29.88	20.6909	0.00241257
Nrbp2	chr15:75916023-75920443	-0.524499	25.6842	17.8557	0.00360813
Ddx26b	chrX:53708015-53761020	-0.524317	6.85549	4.76654	0.0240792
D4Wsu53e	chr4:134479539-134483285	-0.508677	80.028	56.249	0.00181302
4833420G17Rik	chr13:120251565-120274924	-0.506879	9.40219	6.61673	0.038196
Atp11b	chr3:35653059-35755198	-0.505473	10.6296	7.48778	0.0064205
Prelp	chr1:135806881-135817978	-0.497753	16.5939	11.752	0.00578341
Phactr2	chr10:12927522-13194202	-0.497229	6.43142	4.55644	0.027525
Rffl	chr11:82594636-82684712	-0.496072	4.62207	3.27721	0.030669
Tbc1d9	chr8:85689250-85796839	-0.491823	25.1776	17.9044	0.00192738
Prss23	chr7:96656294-96666096	-0.489708	11.1087	7.91131	0.0187495
Fam129b	chr2:32731653-32816771	-0.489228	8.60177	6.12795	0.0408064
Klhdc7a	chr4:139518087-139523941	-0.488598	5.22491	3.72388	0.0240406
Gas6	chr8:13465373-13494535	-0.484623	38.1403	27.2583	0.00300659
Rab26	chr17:24665998-24670692	-0.482179	22.3849	16.0252	0.0324134
Cpne7	chr8:125641273-125659085	-0.481957	44.4014	31.7917	0.00442993
Prkab2	chr3:97462134-97476990	-0.46585	13.7611	9.96367	0.0100999
Adcy6	chr15:98420420-98438064	-0.46505	8.82546	6.39356	0.0124351
Runx1t1	chr4:13670448-13820790	-0.461266	6.95847	5.05427	0.0330534
Ppp1r1b	chr11:98210051-98219109	-0.460598	51.9758	37.77	0.00626081
Slc25a17	chr15:81149350-81191195	-0.460028	22.7832	16.5627	0.0321784
Ttc14	chr3:33699116-33743232	-0.450823	7.43693	5.44104	0.00962919
Celsr3	chr9:108728650-108755300	-0.445757	6.47274	4.75228	0.0085497
Rbm28	chr6:29073572-29114724	-0.442365	7.67074	5.64511	0.037352
Mmab	chr5:114881042-114894036	-0.441838	10.2576	7.55164	0.0439532
Ccdc93	chr1:123327643-123403037	-0.440655	4.99686	3.68168	0.0392219
Iqgap1	chr7:87856468-87948217	-0.439331	4.19637	3.09472	0.0407483
Pcp4l1	chr1:173103394-173126399	-0.437332	53.6843	39.6458	0.00994327
Tia1	chr6:86354212-86383399	-0.431487	12.3492	9.15691	0.0483875
Maob	chrX:16286406-16394492	-0.430398	12.8183	9.5119	0.0494554
Slc6a7	chr18:61155033-61173853	-0.424028	25.3989	18.9309	0.0106603
Zfr2	chr10:80695907-80714868	-0.410509	12.5103	9.41221	0.0386567
Akap8l	chr17:32458368-32487522	-0.408485	20.2163	15.2313	0.0415597
Flna	chrX:71468799-71491873	-0.391126	5.56681	4.24489	0.037274
Hs6st2	chrX:48740388-49034779	-0.387753	11.0473	8.44368	0.0424582
Gm5567	chr6:40060251-40198352	-0.373927	17.059	13.1641	0.0414967
Trank1	chr9:111214242-111298279	-0.370284	12.1147	9.37228	0.0177835
Gap43	chr16:42248673-42340764	-0.369046	113.674	88.0173	0.0189593
Slc35f1	chr10:52410306-52831428	-0.356786	18.8331	14.7068	0.0285796
Tyro3	chr2:119625249-119643839	-0.354953	31.699	24.7853	0.0217909
Setd2	chr9:110435100-110521137	-0.353913	13.483	10.5499	0.0223087
Tbr1	chr2:61642509-61652170	-0.353216	33.1178	25.9258	0.0233369
Plch2	chr4:154357223-154385093	-0.340613	25.5586	20.1838	0.0280125
Plxnc1	chr10:94253611-94407212	-0.331822	10.4905	8.33508	0.0490891
Sparc	chr11:55208002-55233582	-0.324788	154.862	123.644	0.0271261
Nefm	chr14:68737601-68743061	-0.311331	96.438	77.7192	0.0336528
Slc12a2	chr18:58038331-58106475	-0.310594	18.5821	14.9829	0.0474721
Rgnef	chr13:98668549-98976120	-0.309398	16.2314	13.0983	0.0498923
Fam81a	chr9:69937116-69989364	-0.307849	43.0377	34.7678	0.0460907
Sipa1l3	chr7:30105396-30290479	0.290522	33.5825	41.0742	0.0464589
Ehd3	chr17:74154180-74181433	0.29132	59.1788	72.4206	0.0445546
Chst1	chr2:92439863-92455409	0.294773	125.868	154.401	0.043662
Adcy2	chr13:68758919-69138419	0.299256	34.8479	42.8806	0.044604
Pkia	chr3:7366603-7445365	0.300747	65.0913	80.1783	0.0378352
Rbfox1	chr16:5884885-7412573	0.300818	126.48	155.804	0.0499972
Napa	chr7:16683991-16703324	0.301072	86.0204	105.982	0.0388738
Wscd1	chr11:71564204-71603148	0.302299	46.4157	57.2355	0.0451953
Klf13	chr7:71031236-71083801	0.304607	40.875	50.4839	0.0364076
B3galt5	chr16:96457407-96541465	0.305216	22.5829	27.9035	0.0423715
Dagla	chr19:10319754-10379367	0.307915	37.9205	46.9425	0.0351464
Ip6k2	chr9:108698324-108708664	0.309645	60.5789	75.0817	0.0440597
Sez6l	chr5:112848177-113006205	0.311076	69.5468	86.282	0.0371872
Psd	chr19:46379226-46401646	0.311926	154.604	191.919	0.0470486
Gprin1	chr13:54838033-54851030	0.312568	45.9911	57.1171	0.03222
Foxk1	chr5:142877450-142937969	0.313425	15.0155	18.6591	0.0405191
Limd2	chr11:106017569-106021456	0.314844	31.2237	38.8384	0.045727
Rtn4r	chr16:18127798-18152501	0.316144	51.1334	63.661	0.0471218
Anapc1	chr2:128435818-128513131	0.316378	10.6161	13.2192	0.0415454
Prrt2	chr7:134161055-134164725	0.316433	133.372	166.081	0.0301229
Fkbp5	chr17:28536039-28623057	0.319912	21.4453	26.7691	0.0492849
Lmo3	chr6:138313001-138530489	0.320402	68.3008	85.2857	0.0320743
Ppfia4	chr1:136193359-136229505	0.32106	13.8059	17.2469	0.0443462
Slc7a5	chr8:124405045-124431586	0.321232	22.4255	28.0183	0.0480672
Pnmal2	chr7:17530030-17534177	0.321296	117.514	146.828	0.033432
Lpl	chr8:71404453-71430831	0.321919	28.3928	35.4908	0.0371545
Zfp148	chr16:33380860-33503989	0.323437	10.2443	12.8188	0.0365569
Man1a	chr10:53625838-53795602	0.323665	18.7157	23.4228	0.0497286
Camk2n1	chr4:138011062-138016041	0.324138	197.658	247.451	0.0441324
Gabra5	chr7:64642641-64765379	0.328412	94.7403	118.959	0.0244429
Chst2	chr9:95301344-95307689	0.329514	46.8301	58.8462	0.0234742
Synrg	chr11:83777929-83855581	0.330327	20.0589	25.22	0.0423501
Nrxn3	chr12:89961319-91573373	0.334208	34.4264	43.4009	0.0400078
Nrp1	chr8:130882972-131029375	0.335234	23.0698	29.1045	0.0242297
Rasd2	chr8:77737842-77748012	0.33744	25.6028	32.3495	0.041487
Marcks	chr10:36853048-36858732	0.33859	36.8377	46.582	0.0221974
Fam123c	chr1:34636537-34647789	0.339866	13.583	17.1912	0.045574
Aqp4	chr18:15547902-15562193	0.340331	37.2489	47.1589	0.0192546
Cacng8	chr7:3394458-3415366	0.344618	128	162.537	0.0348414
Ptn	chr6:36665662-36761361	0.345635	55.7644	70.8603	0.0235757
Orai2	chr5:136623331-136646526	0.345638	17.0632	21.6824	0.0391091
Calb1	chr4:15808410-15833856	0.346598	34.998	44.502	0.0265973
Nedd4l	chr18:65047409-65377480	0.348164	23.0343	29.3213	0.0179009
Glo1	chr17:30729806-30749604	0.352131	29.263	37.3526	0.0483161
Pcdh20	chr14:88864553-88871203	0.352896	40.7584	52.0534	0.0148436
Slit1	chr19:41674746-41818346	0.352938	34.0899	43.5383	0.0160737
Lrfn5	chr12:62625618-62946245	0.353126	15.0828	19.2656	0.0397368
Fam19a2	chr10:122701131-123178035	0.355575	20.5326	26.2713	0.0268328
Lyst	chr13:13682675-13869707	0.356906	7.84782	10.0505	0.0221964
Prosapip1	chr2:130458574-130468539	0.357888	35.7539	45.8204	0.0158274
Zmiz1	chr14:26278670-26486233	0.36361	16.8047	21.6217	0.0154498
Diap2	chrX:126284277-127000369	0.364016	4.74576	6.1078	0.0491765
Gng7	chr10:80411368-80477670	0.364084	64.7248	83.305	0.0105142
Nhsl2	chrX:99044723-99287394	0.366838	7.32371	9.44409	0.0236289
Ehd1	chr19:6276895-6300096	0.367257	26.6418	34.3652	0.0215686
Sec14l1	chr11:116976485-117020582	0.368647	68.9916	89.0779	0.0274146
Lingo3	chr10:80295547-80306784	0.368788	27.5222	35.5386	0.020338
Pitpnc1	chr11:107069205-107332034	0.369	12.0507	15.5629	0.0226521
H1fx	chr6:87930414-87931476	0.371792	48.492	62.7467	0.048615
Fam100a	chr16:4874778-4879851	0.372999	39.6694	51.3735	0.0358771
Adra1d	chr2:131371092-131388021	0.375044	38.7341	50.2335	0.0189723
Zmat4	chr8:24780132-25173577	0.376588	11.2724	14.6347	0.0349655
Ppp1r1a	chr15:103360709-103368423	0.379974	48.8445	63.5622	0.0264334
Ets2	chr16:95924013-95942656	0.380938	25.4674	33.1633	0.0157113
Vstm2a	chr11:16157726-16184554	0.381737	40.9515	53.3561	0.00976354
Reln	chr5:21390271-21850523	0.386035	5.73857	7.49915	0.0189262
Rap2a	chr14:120877682-120906414	0.386318	33.4767	43.7558	0.0101016
E130012A19Rik	chr11:97488700-97491030	0.389242	16.6756	21.8401	0.0467825
Nrip1	chr16:76291106-76373294	0.389905	8.55679	11.212	0.0374432
Crtc1	chr8:72906256-72963472	0.391964	47.9385	62.9039	0.00681528
Rbm42	chr7:31426013-31435247	0.392101	32.1995	42.2555	0.0273531
Fam84a	chr12:14154403-14158844	0.392475	36.499	47.9102	0.00994379
Kcng2	chr18:80491282-80560993	0.393609	13.9909	18.3794	0.0415673
Vim	chr2:13495937-13504453	0.395648	26.9357	35.4348	0.0291917
Rfx3	chr19:27836210-28085656	0.396532	9.66529	12.7228	0.0463203
Crim1	chr17:78599587-78775932	0.398895	24.2565	31.9821	0.00716858
Man1c1	chr4:134117604-134260205	0.399498	7.25853	9.57436	0.041979
Mef2c	chr13:83643032-83806684	0.40006	22.5832	29.7999	0.00689629
Dock3	chr9:106795155-107134240	0.400845	19.1015	25.2194	0.00608648
Per1	chr11:68912457-68923459	0.401686	15.8341	20.9177	0.0336397
Sphkap	chr1:83252355-83404775	0.403683	55.6042	73.5578	0.00691409
Tanc1	chr2:59450100-59684206	0.4046	21.8059	28.8649	0.00586162
Rilpl1	chr5:124943088-124981400	0.406776	22.9569	30.4344	0.0228774
Tmem108	chr9:103385265-103664167	0.407238	8.62853	11.4427	0.0416468
Thsd4	chr9:59814737-60358842	0.40733	7.44285	9.87092	0.0202208
Lrrc10b	chr19:10529860-10531937	0.411595	37.701	50.1482	0.0126244
Htr1a	chr13:106233772-106238213	0.414348	8.48126	11.3029	0.0296129
Matn2	chr15:34236435-34365995	0.417919	17.5126	23.3968	0.013226
Kcnd2	chr6:21166108-21679805	0.418471	38.9664	52.079	0.00439115
Lrp1b	chr2:40452292-42509118	0.418932	2.84646	3.80554	0.0216337
Bhlhe40	chr6:108527032-108616919	0.418938	41.4554	55.4235	0.00525961
Kctd4	chr14:76296743-76410672	0.419576	24.539	32.8218	0.0142246
Slc8a2	chr7:16715648-16745860	0.419593	114.278	152.853	0.00551214
D8Ertd82e	chr8:37157881-37210841	0.41985	7.85763	10.5118	0.0275856
Slc7a14	chr3:31101777-31209241	0.421289	28.5743	38.2645	0.00376554
Plxna4	chr6:32094558-32538192	0.423128	18.6899	25.0601	0.00361043
B3galt2	chr1:145454628-145549814	0.423422	9.00775	12.0803	0.0352767
Prickle1	chr15:93329544-93426322	0.424451	21.6442	29.0478	0.0071845
Elk1	chrX:20510520-20527726	0.425787	22.6102	30.3724	0.00811853
Slc35a5	chr16:45139685-45158786	0.426209	11.1975	15.046	0.0176834
Olfml2b	chr1:172574662-172612920	0.427601	20.7242	27.8739	0.0111782
Akap7	chr10:24888895-25018969	0.431328	8.45231	11.3977	0.0405148
Grik3	chr4:125168074-125391417	0.437235	4.15144	5.62107	0.0210718
Iqgap2	chr13:96397131-96661877	0.438693	19.6783	26.6715	0.0037445
Fam135b	chr15:71276107-71558268	0.439733	5.23975	7.10695	0.0398608
Rgs7	chr1:176989206-177422676	0.441025	24.038	32.6332	0.0397919
Cdc42ep4	chr11:113588163-113613129	0.441177	14.5239	19.7193	0.0289962
Txnip	chr3:96359690-96370724	0.442275	9.62658	13.0801	0.038058
Adcy1	chr11:6963491-7078508	0.44541	114.674	156.151	0.0251468
Ptpro	chr6:137200819-137413154	0.447267	5.76067	7.85441	0.0278207
Ccdc85a	chr11:28285691-28484296	0.448095	17.3818	23.713	0.041767
Rasgrf2	chr13:92020011-92901449	0.44839	15.1098	20.6176	0.00325831
Olfml3	chr3:103539316-103541924	0.44852	13.307	18.1592	0.0453345
Kcns2	chr15:34767135-34772092	0.448692	9.59918	13.101	0.0153224
Rasd1	chr11:59761715-59778444	0.450075	40.5443	55.3881	0.0293969
BC068157	chr8:4209542-4217312	0.451683	8.29981	11.3511	0.0179427
Btbd3	chr2:138082319-138113158	0.455432	32.073	43.9783	0.00257514
Sertad4	chr1:194670681-194681946	0.45584	8.41582	11.543	0.0435563
Dcakd	chr11:102855369-102878461	0.457827	29.3193	40.2692	0.0110682
Bhlhe41	chr6:145811256-145813860	0.458424	17.1393	23.55	0.0477781
4930572J05Rik	chr15:74551663-74554803	0.458856	32.3243	44.4281	0.0127299
Tle1	chr4:71778175-71861953	0.46774	12.1074	16.7439	0.00777348
Dgkh	chr14:78969415-79124896	0.469091	7.25797	10.0468	0.0222422
Gm1337	chr2:118524838-118529699	0.47465	5.02295	6.9798	0.028974
Epha7	chr4:28740294-28894649	0.475351	51.6952	71.8696	0.00497899
Kcnip4	chr5:48780741-49676898	0.477192	27.6358	38.4699	0.0144372
Parvb	chr15:84062472-84146039	0.478134	7.36666	10.2613	0.0220842
Bcl6	chr16:23965137-23988698	0.479262	20.8241	29.0295	0.00363501
Ngef	chr1:89373403-89470445	0.480028	30.1665	42.0753	0.00292216
Dact2	chr17:14332236-14340838	0.480829	9.71393	13.5562	0.0225111
Jun	chr4:94715726-94718913	0.481029	32.2733	45.0451	0.00199533
Hlf	chr11:90197848-90252231	0.485808	25.2779	35.3984	0.00108856
Pde1b	chr15:103333728-103360483	0.486514	33.7566	47.2948	0.00183529
Tshz2	chr2:169459145-169714004	0.487321	3.48254	4.88196	0.0446796
1190002N15Rik	chr9:94418282-94438500	0.488793	10.6666	14.9681	0.00814797
Nell1	chr7:57230719-58118659	0.489866	14.8252	20.8192	0.00882154
Ncald	chr15:37295929-37722183	0.493408	144.886	203.966	0.00421912
Pitpnm2	chr5:124568698-124666427	0.499911	35.5475	50.2686	0.000596153
Wbscr17	chr5:131350820-131783392	0.502208	47.7819	67.6773	0.000579872
Marcksl1	chr4:129190824-129193225	0.50344	10.7922	15.2989	0.0476709
AI593442	chr9:52481146-52487534	0.50416	35.3466	50.132	0.000565285
Kirrel3	chr9:34296315-34843892	0.506553	8.66384	12.3083	0.0396623
Cd34	chr1:196765014-196803153	0.507108	16.7405	23.7916	0.0487857
Vwf	chr6:125502980-125636695	0.5091	2.05463	2.92407	0.0323919
Nptx1	chr11:119400032-119409134	0.50919	131.47	187.115	0.00152173
Ndn	chr7:69493162-69494813	0.515584	91.2837	130.497	0.00103443
Calb2	chr8:112666437-112692106	0.51641	12.0722	17.268	0.0457161
Jph1	chr1:16985020-17087970	0.523395	11.2271	16.1371	0.00265099
Plek	chr11:16871208-16908721	0.523691	3.35637	4.82521	0.0450589
Fnip2	chr3:79149297-79371601	0.524092	2.1977	3.16035	0.0362403
Ptgds	chr2:25322231-25325269	0.525501	307.49	442.612	0.00044798
Ephb2	chr4:136209524-136391850	0.52689	6.12851	8.83008	0.00994181
Rras2	chr7:121190295-121261295	0.528559	8.4285	12.158	0.0267638
Ephb1	chr9:101824457-102257023	0.5348	7.69473	11.1477	0.00709041
